ticker
AEFES
AGHOL
AGROT
AKBNK
AKCNS
AKFGY
AKFYE
AKSA
AKSEN
ALARK
ALBRK
ALFAS
ALGYO
ALKIM
ANHYT
ANSGR
ARCLK
ARDYZ
ASELS
ASTOR
ASUZU
AVPGY
BAGFS
BASGZ
BERA
BFREN
BIENY
BIMAS
BIOEN
BJKAS
BOBET
BRISA
BRSAN
BRYAT
BTCIM
BUCIM
CANTE
CCOLA
CEMTS
CIMSA
CLEBI
CVKMD
CWENE
DAPGM
DENGE
DESA
DGNMO
DOAS
DOHOL
DOKTA
ECILC
ECZYT
EGEEN
EKGYO
ENJSA
ENKAI
EREGL
ESEN
EUPWR
FENER
FROTO
GARAN
GENIL
GESAN
GLYHO
GOLTS
GOODY
GSDHO
GUBRF
GWIND
HALKB
HEKTS
HLGYO
HTTBT
HUNER
ICBCT
IEYHO
IPEKE
ISCTR
ISDMR
ISGYO
ISMEN
IZMDC
JANTS
KAREL
KARSN
KATMR
KAYSE
KCAER
KCHOL
KLKIM
KLSER
KMPUR
KONTR
KONYA
KORDS
KOZAA
KOZAL
KRDMD
KRDMA
KRDMB
KTLEV
LIDER
LOGO
MAGEN
MAVI
MGROS
MIATK
MPARK
NTHOL
NUGYO
NUHCM
ODAS
OTKAR
OYAKC
PARSN
PASEU
PENTA
PETKM
PGSUS
PSGYO
QUAGR
REEDR
RGYAS
RYSAS
SAHOL
SASA
SDTTR
SELEC
SISE
SKBNK
SMRTG
SNGYO
SOKM
TABGD
TAVHL
TCELL
THYAO
TKFEN
TKNSA
TMSN
TOASO
TSKB
TSPOR
TTKOM
TTRAK
TUKAS
TUPRS
TURSG
ULKER
VAKBN
VESBE
VESTL
VESTE
YEOTK
YKBNK
YYLGD
ZOREN
